Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,945.250000,967.875000,945.250000,965.599976,951.427673,2298184
2018-04-03,961.974976,962.849976,955.500000,957.950012,943.889954,2039942
2018-04-04,956.474976,962.474976,939.224976,941.625000,927.804565,1857054
2018-04-05,950.650024,957.000000,945.099976,954.450012,940.441345,2429446
2018-04-06,956.099976,963.224976,952.900024,961.700012,947.584900,1860004
2018-04-09,959.400024,971.000000,958.200012,969.525024,955.295044,2001768
2018-04-10,971.500000,971.500000,956.750000,960.424988,946.328613,3033618
2018-04-11,957.950012,960.000000,952.700012,959.424988,945.343262,1435406
2018-04-12,958.000000,966.450012,952.950012,964.400024,950.245239,2356258
2018-04-13,964.000000,970.000000,959.549988,962.500000,948.373169,1648586
2018-04-16,960.000000,975.000000,959.924988,971.049988,956.797607,1423872
2018-04-17,971.750000,975.500000,967.049988,974.250000,959.950745,1333916
2018-04-18,975.500000,976.750000,965.025024,966.299988,952.117371,1356360
2018-04-19,970.000000,972.400024,966.500000,969.500000,955.270386,1584516
2018-04-20,970.500000,980.500000,966.075012,977.950012,963.596436,4680690
2018-04-23,989.500000,989.500000,930.150024,967.875000,953.669312,7652310
2018-04-24,967.500000,974.025024,963.000000,967.500000,953.299744,2518708
2018-04-25,963.950012,969.000000,956.000000,960.375000,946.279358,2010296
2018-04-26,958.400024,969.599976,955.625000,965.125000,950.959595,3923740
2018-04-27,966.500000,967.750000,956.250000,961.700012,947.584900,2888504
2018-04-30,965.000000,977.400024,964.400024,972.150024,957.881531,2304776
2018-05-02,975.000000,989.000000,973.000000,984.750000,970.296570,3550024
2018-05-03,984.025024,987.450012,973.000000,983.950012,969.508301,2076386
2018-05-04,985.000000,995.000000,983.150024,994.250000,979.657104,3440718
2018-05-07,990.825012,993.650024,987.500000,988.700012,974.188660,2632064
2018-05-08,989.625000,989.950012,977.299988,983.525024,969.089600,3550282
2018-05-09,978.075012,990.250000,978.075012,989.200012,974.681274,2163666
2018-05-10,994.299988,999.500000,991.000000,996.349976,981.726318,3585836
2018-05-11,996.349976,1008.500000,993.000000,1005.875000,991.111511,3028534
2018-05-14,1008.599976,1013.700012,1006.200012,1010.875000,996.038208,2371458
2018-05-15,1013.525024,1032.500000,1013.349976,1018.900024,1003.945374,4913342
2018-05-16,1015.275024,1024.500000,1008.575012,1011.674988,996.826416,3420802
2018-05-17,1011.924988,1022.224976,1006.250000,1013.875000,998.994141,3307738
2018-05-18,1012.349976,1012.349976,1001.750000,1006.075012,991.308594,2608730
2018-05-21,1008.049988,1010.500000,993.025024,996.525024,981.898804,2424054
2018-05-22,999.349976,1006.974976,992.750000,994.950012,980.346924,1980186
2018-05-23,993.900024,997.000000,981.700012,983.750000,969.311218,2863146
2018-05-24,983.549988,995.125000,978.174988,993.000000,978.425476,2260372
2018-05-25,995.000000,1008.000000,994.950012,1004.349976,989.608887,2379794
2018-05-28,1003.900024,1026.000000,1003.000000,1021.099976,1006.113037,2551970
2018-05-29,1019.000000,1026.349976,1014.400024,1016.299988,1001.383545,1675622
2018-05-30,1009.849976,1026.500000,1008.150024,1024.175049,1009.143005,2433498
2018-05-31,1050.000000,1080.000000,1040.000000,1069.724976,1060.756592,19819596
2018-06-01,1058.000000,1069.000000,1050.500000,1055.300049,1046.452637,10575678
2018-06-04,1075.000000,1078.500000,1018.974976,1023.099976,1014.522461,44398162
2018-06-05,1025.000000,1033.474976,1011.500000,1031.800049,1023.149597,8552730
2018-06-06,1030.099976,1032.400024,1022.500000,1028.675049,1020.050781,4891000
2018-06-07,1036.599976,1039.900024,1026.599976,1031.099976,1022.455322,5281948
2018-06-08,1029.500000,1030.625000,1017.500000,1024.675049,1016.084351,3090444
2018-06-11,1025.949951,1031.474976,1019.400024,1021.150024,1012.588806,3545594
2018-06-12,1025.949951,1026.349976,1019.200012,1021.924988,1013.357300,2617128
2018-06-13,1026.000000,1027.400024,1012.049988,1015.724976,1007.209229,3948980
2018-06-14,1015.000000,1022.500000,1012.500000,1018.700012,1010.159363,8463788
2018-06-15,1013.000000,1019.450012,1011.150024,1014.799988,1006.292053,5440408
2018-06-18,1015.049988,1019.400024,1004.549988,1009.575012,1001.110901,3743702
2018-06-19,1012.474976,1020.349976,1009.650024,1011.750000,1003.267639,5490576
2018-06-20,1013.000000,1029.000000,1012.500000,1028.074951,1019.455750,4525856
2018-06-21,1030.000000,1035.400024,1023.525024,1028.800049,1020.174744,6755352
2018-06-22,1028.474976,1044.400024,1024.925049,1041.675049,1032.941772,3924490
2018-06-25,1041.525024,1048.900024,1036.525024,1047.474976,1038.693115,3496168
2018-06-26,1043.025024,1051.500000,1039.925049,1046.849976,1038.073242,4580966
2018-06-27,1046.500000,1059.750000,1045.000000,1056.300049,1047.444214,9563402
2018-06-28,1057.500000,1070.000000,1055.599976,1065.425049,1056.492676,18766770
2018-06-29,1060.849976,1070.000000,1052.550049,1054.224976,1045.386475,9729060
2018-07-02,1054.175049,1054.199951,1031.625000,1036.625000,1027.934082,4932438
2018-07-03,1036.625000,1042.500000,1032.800049,1035.099976,1026.421875,3431550
2018-07-04,1038.125000,1054.025024,1034.500000,1051.775024,1042.957031,3048996
2018-07-05,1052.500000,1064.500000,1046.275024,1061.875000,1052.972412,4867984
2018-07-06,1056.650024,1067.775024,1055.675049,1057.574951,1048.708496,4060672
2018-07-09,1060.925049,1065.000000,1053.875000,1062.824951,1053.914429,3091148
